sampleid,row,col,plate
SID9257976,3,A,1
SID4428454,4,A,1
SID8401825,5,A,1
SID2793741,6,A,1
SID3321824,7,A,1
SID5555476,8,A,1
SID6928309,9,A,1
SID0454472,10,A,1
SID5154516,11,A,1
SID2376808,12,A,1
SID2194281,13,A,1
SID8224344,14,A,1
SID2149203,15,A,1
SID4837929,16,A,1
SID9668507,17,A,1
SID1246713,18,A,1
SID2866040,19,A,1
SID5667397,20,A,1
SID7893031,21,A,1
SID7753975,22,A,1
SID2550194,3,B,1
SID2717061,4,B,1
SID1549983,5,B,1
SID0883329,6,B,1
SID2889105,7,B,1
SID1398477,8,B,1
SID7502322,9,B,1
SID6806853,10,B,1
SID6776422,11,B,1
SID4899280,12,B,1
SID2571992,13,B,1
SID1483885,14,B,1
SID5490534,15,B,1
SID1864844,16,B,1
SID7030063,17,B,1
SID2138668,18,B,1
SID9707806,19,B,1
SID6679696,20,B,1
SID4782566,21,B,1
SID5659474,22,B,1
SID7677425,3,C,1
SID5879599,4,C,1
SID6976063,5,C,1
SID6734139,6,C,1
SID3310300,7,C,1
SID2177673,8,C,1
SID8426282,9,C,1
SID9366969,10,C,1
SID1871767,11,C,1
SID1555124,12,C,1
SID2562784,13,C,1
SID5414233,14,C,1
SID0032796,15,C,1
SID5080981,16,C,1
SID4540187,17,C,1
SID7555304,18,C,1
SID2388540,19,C,1
SID7184738,20,C,1
SID3332907,21,C,1
SID3170664,22,C,1
SID3908849,3,D,1
SID3164977,4,D,1
SID7258643,5,D,1
SID7926167,6,D,1
SID3323444,7,D,1
SID9378258,8,D,1
SID6506625,9,D,1
SID3087424,10,D,1
SID2838886,11,D,1
SID6833275,12,D,1
SID1065377,13,D,1
SID1045543,14,D,1
SID0541489,15,D,1
SID5984889,16,D,1
SID9956489,17,D,1
SID9154685,18,D,1
SID0880123,19,D,1
SID1042702,20,D,1
SID8481344,21,D,1
SID6669072,22,D,1
SID8682536,3,E,1
SID4687395,4,E,1
SID3163944,5,E,1
SID4132992,6,E,1
SID3448531,7,E,1
SID6885357,8,E,1
SID5721204,9,E,1
SID3424725,10,E,1
SID6650417,11,E,1
SID5179165,12,E,1
SID8457287,13,E,1
SID8213069,14,E,1
SID7543139,15,E,1
SID7343337,16,E,1
SID4750874,17,E,1
SID2646030,18,E,1
SID4002181,19,E,1
SID8594466,20,E,1
SID8181602,21,E,1
SID4998248,22,E,1
SID1822707,3,F,1
SID4015251,4,F,1
SID1899646,5,F,1
SID2713147,6,F,1
SID1798477,7,F,1
SID2004235,8,F,1
SID6094159,9,F,1
SID2853577,10,F,1
SID6401305,11,F,1
SID5621976,12,F,1
SID1571620,13,F,1
SID7067918,14,F,1
SID0910062,15,F,1
SID5363296,16,F,1
SID3412535,17,F,1
SID9655649,18,F,1
SID6565212,19,F,1
SID4877825,20,F,1
SID7579642,21,F,1
SID8534894,22,F,1
SID2795754,3,G,1
SID6354002,4,G,1
SID4415183,5,G,1
SID8306533,6,G,1
SID2289546,7,G,1
SID9199862,8,G,1
SID3915097,9,G,1
SID5864303,10,G,1
SID4423735,11,G,1
SID1590181,12,G,1
SID5266903,13,G,1
SID4726700,14,G,1
SID4742858,15,G,1
SID2362847,16,G,1
SID6788098,17,G,1
SID0213708,18,G,1
SID3913536,19,G,1
SID8697449,20,G,1
SID7920918,21,G,1
SID2278051,22,G,1
SID6461090,3,H,1
SID9646229,4,H,1
SID7921832,5,H,1
SID5572050,6,H,1
SID7031550,7,H,1
SID1140267,8,H,1
SID5953699,9,H,1
SID2067934,10,H,1
SID3319926,11,H,1
SID3303158,12,H,1
SID8176051,13,H,1
SID5824456,14,H,1
SID9699860,15,H,1
SID5158770,16,H,1
SID5100614,17,H,1
SID8345914,18,H,1
SID3798286,19,H,1
SID7445311,20,H,1
SID8738337,21,H,1
SID1318400,22,H,1
SID1072844,3,I,1
SID4009076,4,I,1
SID2909657,5,I,1
SID2634360,6,I,1
SID8912631,7,I,1
SID1609694,8,I,1
SID9690861,9,I,1
SID7930579,10,I,1
SID0312649,11,I,1
SID5154716,12,I,1
SID0087936,13,I,1
SID3926084,14,I,1
SID3751384,15,I,1
